
These predictions were generated by FAST (v7.01.00a-bjj, 16-Feb-2012) on 14-Jul-2016 at 18:51:50.
The aerodynamic calculations were made by AeroDyn (v13.00.01a-bjj, 16-Feb-2012).

 Test file with data from WindPACT 1.5 MW turbine. LVT July 2014

Time	WindVxi	WindVyi	WindVzi	RootFxc2	RootFyc2	RootFzc2	RootMxc2	RootMyc2	RootMzc2	RootMFlp2	RootMedg2	RotThrust	RotSpeed	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	GenPwr	GenTq	BldPitch2
(s)	(m/s)	(m/s)	(m/s)	(kN)	(kN)	(kN)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN)	(rpm)	(kN)	(kN)	(kN)	(kN·m)	(kN·m)	(kN·m)	(kW)	(kN·m)	(deg)
  60.000	 2.113E+01	 3.176E-01	 3.113E-01	 6.358E+01	-9.418E+01	 5.505E+02	 1.098E+03	 6.355E+02	 2.340E+01	 1.026E+03	 7.470E+02	 1.091E+02	 2.034E+01	 1.351E+02	-2.870E-01	-2.027E+03	 6.555E+02	 1.007E+04	-2.023E+02	 1.470E+03	 8.265E+00	 2.389E+01
  60.050	 2.170E+01	-4.788E-01	 1.923E-01	 6.428E+01	-9.674E+01	 5.534E+02	 1.260E+03	 7.571E+02	 2.002E+01	 1.202E+03	 8.465E+02	 1.040E+02	 2.034E+01	 1.297E+02	 4.129E+00	-2.015E+03	 4.709E+02	 9.894E+03	-6.261E+01	 1.472E+03	 8.273E+00	 2.386E+01
  60.100	 2.098E+01	-5.622E-01	 1.218E+00	 6.689E+01	-1.041E+02	 5.569E+02	 1.346E+03	 8.454E+02	 1.731E+01	 1.318E+03	 8.888E+02	 1.083E+02	 2.035E+01	 1.257E+02	 9.817E+00	-2.009E+03	 2.913E+02	 9.788E+03	 9.337E+01	 1.479E+03	 8.296E+00	 2.389E+01
  60.150	 2.167E+01	-7.970E-01	 1.085E+00	 8.688E+01	-1.187E+02	 5.591E+02	 1.496E+03	 1.092E+03	 2.407E+01	 1.603E+03	 9.277E+02	 1.246E+02	 2.030E+01	 1.298E+02	 9.602E+00	-2.032E+03	 2.909E+02	 9.912E+03	 3.224E+02	 1.468E+03	 8.257E+00	 2.383E+01
  60.200	 2.300E+01	 1.109E+00	 8.170E-01	 8.079E+01	-1.129E+02	 5.625E+02	 1.545E+03	 1.145E+03	 1.732E+01	 1.671E+03	 9.528E+02	 1.133E+02	 2.028E+01	 1.319E+02	 4.869E+00	-2.031E+03	 4.251E+02	 1.008E+04	 4.421E+02	 1.461E+03	 8.231E+00	 2.377E+01
  60.250	 2.253E+01	 2.019E+00	 1.372E+00	 8.094E+01	-1.093E+02	 5.641E+02	 1.611E+03	 1.231E+03	 1.219E+01	 1.775E+03	 9.797E+02	 1.198E+02	 2.026E+01	 1.426E+02	-2.201E+00	-2.021E+03	 6.052E+02	 1.045E+04	 5.466E+02	 1.458E+03	 8.219E+00	 2.373E+01
  60.300	 2.240E+01	 3.228E+00	 3.379E-01	 1.030E+02	-1.305E+02	 5.675E+02	 1.734E+03	 1.424E+03	 2.376E+01	 2.001E+03	 1.015E+03	 1.396E+02	 2.026E+01	 1.500E+02	-8.937E-01	-2.052E+03	 5.927E+02	 1.082E+04	 6.834E+02	 1.455E+03	 8.209E+00	 2.373E+01
  60.350	 2.284E+01	 2.897E+00	 2.709E-01	 9.167E+01	-1.198E+02	 5.715E+02	 1.725E+03	 1.351E+03	 1.734E+01	 1.930E+03	 1.038E+03	 1.284E+02	 2.022E+01	 1.638E+02	 4.237E+00	-2.041E+03	 4.838E+02	 1.130E+04	 5.677E+02	 1.446E+03	 8.174E+00	 2.366E+01
  60.400	 2.171E+01	 2.411E+00	 6.443E-01	 8.653E+01	-1.215E+02	 5.746E+02	 1.739E+03	 1.263E+03	 1.412E+01	 1.853E+03	 1.088E+03	 1.133E+02	 2.019E+01	 1.708E+02	 7.665E+00	-2.053E+03	 4.147E+02	 1.161E+04	 5.139E+02	 1.439E+03	 8.148E+00	 2.359E+01
