
These predictions were generated by FAST (v7.01.00a-bjj, 16-Feb-2012) on 04-Oct-2016 at 12:10:13.
The aerodynamic calculations were made by AeroDyn (v13.00.01a-bjj, 16-Feb-2012).

 Test file with data from WindPACT 1.5 MW turbine. LVT July 2014

Time	WindVxi	WindVyi	WindVzi	RootFxc2	RootFyc2	RootFzc2	RootMxc2	RootMyc2	RootMzc2	RootMFlp2	RootMedg2	RotThrust	RotSpeed	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	GenPwr	GenTq	BldPitch2
(s)	(m/s)	(m/s)	(m/s)	(kN)	(kN)	(kN)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN)	(rpm)	(kN)	(kN)	(kN)	(kN·m)	(kN·m)	(kN·m)	(kW)	(kN·m)	(deg)
  60.000	 5.667E+00	-3.379E-01	 7.360E-01	 5.975E+01	 5.311E+01	 1.422E+02	-1.023E+03	 1.930E+03	 4.343E+01	 1.882E+03	-1.110E+03	 1.494E+02	 1.152E+01	 1.660E+02	-1.045E+00	-2.031E+03	 2.428E+02	 1.326E+04	 4.204E+02	 2.678E+02	 2.656E+00	 2.600E+00
  60.050	 5.693E+00	-5.522E-01	 3.401E-01	 5.846E+01	 5.175E+01	 1.394E+02	-9.925E+02	 1.923E+03	 4.204E+01	 1.876E+03	-1.079E+03	 1.515E+02	 1.153E+01	 1.689E+02	-1.311E+00	-2.032E+03	 2.639E+02	 1.340E+04	 4.530E+02	 2.680E+02	 2.657E+00	 2.600E+00
  60.100	 5.673E+00	-7.606E-01	 2.827E-01	 5.697E+01	 5.049E+01	 1.364E+02	-9.549E+02	 1.922E+03	 4.141E+01	 1.877E+03	-1.041E+03	 1.486E+02	 1.153E+01	 1.699E+02	-1.501E+00	-2.034E+03	 2.742E+02	 1.349E+04	 4.613E+02	 2.684E+02	 2.660E+00	 2.600E+00
  60.150	 5.611E+00	-9.509E-01	 3.212E-01	 5.545E+01	 4.819E+01	 1.340E+02	-9.143E+02	 1.895E+03	 4.003E+01	 1.852E+03	-9.993E+02	 1.480E+02	 1.154E+01	 1.687E+02	-1.270E+00	-2.033E+03	 2.681E+02	 1.354E+04	 5.006E+02	 2.689E+02	 2.663E+00	 2.600E+00
  60.200	 5.896E+00	-8.547E-01	 7.149E-01	 5.650E+01	 4.553E+01	 1.312E+02	-8.662E+02	 1.903E+03	 4.009E+01	 1.861E+03	-9.516E+02	 1.502E+02	 1.155E+01	 1.692E+02	-9.325E-01	-2.033E+03	 2.523E+02	 1.363E+04	 5.738E+02	 2.695E+02	 2.667E+00	 2.600E+00
  60.250	 5.891E+00	-1.162E+00	 6.069E-01	 5.794E+01	 4.207E+01	 1.293E+02	-8.094E+02	 1.909E+03	 3.958E+01	 1.870E+03	-8.951E+02	 1.467E+02	 1.156E+01	 1.706E+02	-1.048E+00	-2.034E+03	 2.379E+02	 1.374E+04	 6.456E+02	 2.701E+02	 2.671E+00	 2.600E+00
  60.300	 5.918E+00	-1.255E+00	 3.817E-01	 5.522E+01	 4.014E+01	 1.272E+02	-7.608E+02	 1.897E+03	 3.717E+01	 1.861E+03	-8.461E+02	 1.522E+02	 1.157E+01	 1.710E+02	-7.766E-01	-2.033E+03	 2.110E+02	 1.386E+04	 7.612E+02	 2.708E+02	 2.675E+00	 2.600E+00
  60.350	 6.185E+00	-9.623E-01	 6.166E-01	 5.377E+01	 3.643E+01	 1.256E+02	-7.035E+02	 1.875E+03	 3.461E+01	 1.841E+03	-7.878E+02	 1.513E+02	 1.157E+01	 1.727E+02	-5.705E-01	-2.033E+03	 1.779E+02	 1.404E+04	 8.059E+02	 2.713E+02	 2.679E+00	 2.600E+00
  60.400	 6.082E+00	-1.105E+00	 7.788E-01	 5.708E+01	 3.322E+01	 1.238E+02	-6.348E+02	 1.922E+03	 3.484E+01	 1.892E+03	-7.213E+02	 1.562E+02	 1.158E+01	 1.781E+02	-7.226E-02	-2.034E+03	 1.313E+02	 1.429E+04	 8.626E+02	 2.717E+02	 2.681E+00	 2.600E+00
